# Time : Tue Jun 26 18:49:57 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S17LD_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B918AA8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B918A30> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.55,0.3,0.4,0,2,0.25,0.959931173569 
1,l,l,0.55,0,0.1,0.3,2,-0.2,1.10566341862 
2,l,l,0.01,0,0.55,0.3,1,0.25,7.98851172016 
3,l,r,0.4,0.3,0.55,0,2,0.1,0.836825638997 
4,l,l,0.4,0,0.01,0.3,2,-0.29,0.836852944301 
5,r,r,0.5,0.3,0.2,0,1,0.2,0.836044024682 
6,l,l,0.2,0,0.55,0.3,2,0.25,0.836374674843 
7,r,l,0.7,0,0.55,0.3,2,0.25,1.21732120466 
8,l,l,0.01,0,0.4,0.3,1,0.1,1.26515668338 
9,l,r,0.6,0.3,0.3,0,1,0.3,0.837228818871 
10,l,l,0.9,0,0.7,0.3,1,0.4,1.01384122905 
11,r,r,0.5,0.3,0.01,0,2,0.2,1.22870367645 
12,l,l,0.01,0,0.6,0.3,2,0.3,0.837255270884 
13,r,r,0.5,0.3,0.6,0,2,0.2,0.842340883676 
14,r,r,0.1,0.3,0.55,0,2,-0.2,0.897227957047 
15,l,l,0.2,0,0.3,0.3,2,0.0,0.836793213949 
16,l,l,0.4,0,0.7,0.3,2,0.4,1.13986075148 
17,r,l,0.1,0,0.55,0.3,1,0.25,0.894693256913 
18,r,r,0.01,0.3,0.4,0,2,-0.29,0.8372629505 
19,r,r,0.9,0.3,0.9,0,1,0.6,0.905402055663 
20,r,l,0.7,0,0.1,0.3,2,-0.2,1.33321045947 
21,l,l,0.65,0,0.6,0.3,1,0.3,1.68817044653 
22,l,r,0.4,0.3,0.1,0,2,0.1,0.978965530041 
23,l,l,0.6,0,0.6,0.3,2,0.3,1.14768585419 
24,l,l,0.9,0,0.2,0.3,2,-0.1,0.836773161617 
25,r,r,0.3,0.3,0.5,0,1,0.0,1.42835280329 
26,l,l,0.7,0,0.1,0.3,2,-0.2,0.867220281697 
27,l,l,0.55,0,0.01,0.3,2,-0.29,0.858067458606 
28,r,r,0.6,0.3,0.9,0,1,0.3,0.967919254804 
29,l,l,0.9,0,0.01,0.3,2,-0.29,1.45770685794 
30,l,r,0.3,0.3,0.9,0,2,0.0,0.926519294823 
31,r,l,0.01,0,0.4,0.3,2,0.1,0.881399413875 
32,r,r,0.1,0.3,0.01,0,2,-0.2,0.967220836336 
33,r,r,0.4,0.3,0.3,0,2,0.1,0.881055111062 
34,r,r,0.4,0.3,0.5,0,1,0.1,1.10212098212 
35,l,l,0.01,0,0.4,0.3,2,0.1,1.3857198382 
36,r,r,0.5,0.3,0.2,0,2,0.2,0.905632870807 
37,r,r,0.6,0.3,0.3,0,2,0.3,0.885426946154 
38,l,l,0.65,0,0.01,0.3,2,-0.29,1.12222109872 
39,r,r,0.4,0.3,0.7,0,1,0.1,1.36511457348 
40,r,l,0.7,0,0.2,0.3,2,-0.1,0.837912304751 
41,r,r,0.9,0.3,0.5,0,1,0.6,1.07670998397 
42,l,r,0.3,0.3,0.6,0,2,0.0,0.881552579562 
43,l,l,0.01,0,0.6,0.3,2,0.3,0.836982644493 
44,r,l,0.4,0,0.01,0.3,2,-0.29,0.836581171201 
45,l,l,0.1,0,0.7,0.3,1,0.4,1.47617676259 
46,r,l,0.7,0,0.7,0.3,2,0.4,1.24004988338 
47,l,r,0.5,0.3,0.9,0,1,0.2,1.02170515648 
48,r,r,0.6,0.3,0.65,0,2,0.3,0.901560540764 
49,r,l,0.6,0,0.6,0.3,2,0.3,0.837243751459 
50,r,r,0.65,0.3,0.4,0,1,0.35,0.835855447429 
51,l,r,0.65,0.3,0.6,0,1,0.35,0.935521085454 
52,r,r,0.65,0.3,0.9,0,2,0.35,0.837658024111 
53,l,r,0.7,0.3,0.5,0,1,0.4,1.16109830464 
54,l,l,0.1,0,0.6,0.3,1,0.3,1.00194251636 
55,l,r,0.01,0.3,0.7,0,2,-0.29,0.836207429858 
56,r,r,0.5,0.3,0.7,0,1,0.2,1.26458583188 
57,r,r,0.2,0.3,0.9,0,2,-0.1,0.885404333949 
58,r,l,0.3,0,0.65,0.3,1,0.35,0.874328620182 
59,r,l,0.6,0,0.9,0.3,1,0.6,1.26419118491 
