# Time : Tue Jun 26 19:05:23 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S17LD_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B7414E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B7412B0> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.7,0,0.01,0.3,2,-0.29,0.836011172989 
1,r,l,0.2,0,0.01,0.3,2,-0.29,0.836248814459 
2,r,r,0.65,0.3,0.65,0,2,0.35,0.837266790308 
3,l,l,0.1,0,0.65,0.3,2,0.35,0.85322162051 
4,l,l,0.65,0,0.1,0.3,2,-0.2,0.972318395199 
5,r,r,0.55,0.3,0.01,0,2,0.25,0.836000506855 
6,l,r,0.5,0.3,0.7,0,2,0.2,0.836103755034 
7,l,l,0.7,0,0.6,0.3,2,0.3,0.836127647175 
8,r,r,0.6,0.3,0.7,0,2,0.3,0.836378941297 
9,l,r,0.9,0.3,0.2,0,2,0.6,0.9125654314 
10,r,r,0.5,0.3,0.4,0,2,0.2,0.837271910053 
11,l,r,0.65,0.3,0.55,0,2,0.35,0.836381074523 
12,r,r,0.65,0.3,0.2,0,2,0.35,0.837024455739 
13,l,l,0.6,0,0.7,0.3,2,0.4,0.936941814531 
14,l,r,0.5,0.3,0.3,0,2,0.2,0.850750490536 
15,r,r,0.6,0.3,0.01,0,2,0.3,1.1297168312 
16,r,l,0.6,0,0.55,0.3,2,0.25,0.924469263828 
17,l,l,0.3,0,0.5,0.3,2,0.2,0.836454457527 
18,r,r,0.7,0.3,0.01,0,2,0.4,0.837524910756 
19,l,l,0.3,0,0.6,0.3,2,0.3,0.876985767537 
20,r,l,0.3,0,0.9,0.3,2,0.6,0.929838595791 
21,r,r,0.4,0.3,0.5,0,2,0.1,0.836823505771 
22,r,r,0.9,0.3,0.1,0,1,0.6,0.932517075414 
23,r,r,0.5,0.3,0.55,0,2,0.2,0.879438551761 
24,l,r,0.1,0.3,0.65,0,2,-0.2,0.836947232927 
25,l,l,0.6,0,0.4,0.3,2,0.1,1.42704428195 
26,r,l,0.01,0,0.55,0.3,2,0.25,0.835895978739 
27,r,r,0.9,0.3,0.5,0,1,0.6,0.836304705002 
28,r,l,0.65,0,0.1,0.3,2,-0.2,1.11867439577 
29,l,l,0.2,0,0.2,0.3,2,-0.1,1.48138226273 
30,r,r,0.2,0.3,0.65,0,2,-0.1,0.835956989027 
31,l,l,0.4,0,0.4,0.3,2,0.1,2.21205298765 
32,r,r,0.2,0.3,0.5,0,2,-0.1,0.836756095802 
33,r,l,0.6,0,0.7,0.3,2,0.4,0.835858433947 
34,r,r,0.2,0.3,0.4,0,2,-0.1,0.9345265751 
35,l,l,0.6,0,0.9,0.3,1,0.6,1.46533143732 
36,r,l,0.01,0,0.7,0.3,2,0.4,0.836947659573 
37,r,r,0.4,0.3,0.7,0,2,0.1,0.86898958004 
38,l,l,0.7,0,0.4,0.3,2,0.1,6.26575697341 
39,r,l,0.5,0,0.7,0.3,1,0.4,0.836523574077 
40,r,r,0.2,0.3,0.01,0,2,-0.1,0.837573548328 
41,l,l,0.3,0,0.1,0.3,2,-0.2,0.837735673569 
42,r,l,0.2,0,0.4,0.3,2,0.1,0.836857210755 
43,l,l,0.9,0,0.2,0.3,2,-0.1,0.846787381707 
44,l,l,0.1,0,0.2,0.3,2,-0.1,0.836124234012 
45,l,l,0.9,0,0.6,0.3,2,0.3,0.836515041169 
46,r,r,0.65,0.3,0.7,0,2,0.35,0.971285913407 
47,l,l,0.1,0,0.1,0.3,2,-0.2,1.05213222423 
48,r,r,0.3,0.3,0.1,0,2,0.0,0.836323477399 
49,r,l,0.65,0,0.55,0.3,2,0.25,0.936800594914 
50,r,l,0.5,0,0.55,0.3,2,0.25,0.843625939526 
51,l,l,0.4,0,0.5,0.3,2,0.2,0.857319122629 
52,l,l,0.4,0,0.6,0.3,2,0.3,0.836687405898 
53,r,r,0.1,0.3,0.4,0,2,-0.2,0.836873423279 
54,r,l,0.4,0,0.6,0.3,2,0.3,0.837035121873 
55,l,l,0.4,0,0.4,0.3,2,0.1,0.837043654781 
56,r,r,0.4,0.3,0.3,0,2,0.1,0.83662554232 
57,l,l,0.1,0,0.3,0.3,2,0.0,0.837147756251 
58,r,r,0.5,0.3,0.01,0,2,0.2,0.837272763344 
59,r,r,0.9,0.3,0.7,0,1,0.6,1.19801294186 
60,r,l,0.5,0,0.7,0.3,2,0.4,1.02979477931 
61,l,l,0.65,0,0.3,0.3,2,0.0,2.02078872223 
62,r,r,0.3,0.3,0.4,0,2,0.0,1.6254313918 
63,l,r,0.4,0.3,0.55,0,2,0.1,0.837213886283 
64,r,l,0.3,0,0.9,0.3,2,0.6,8.3580053817 
65,r,l,0.3,0,0.65,0.3,2,0.35,1.000607543 
66,r,r,0.5,0.3,0.9,0,2,0.2,1.9293168085 
67,l,l,0.1,0,0.55,0.3,2,0.25,0.836158365641 
68,l,l,0.2,0,0.7,0.3,2,0.4,1.32908693198 
69,l,l,0.3,0,0.5,0.3,2,0.2,0.836756949093 
70,r,l,0.6,0,0.9,0.3,1,0.6,0.837832095422 
71,r,r,0.3,0.3,0.1,0,2,0.0,0.836895182193 
72,r,l,0.4,0,0.1,0.3,2,-0.2,8.20723146834 
73,l,l,0.9,0,0.2,0.3,2,-0.1,0.863736722263 
74,r,l,0.7,0,0.3,0.3,2,0.0,0.934593985068 
75,r,r,0.2,0.3,0.55,0,2,-0.1,0.850449705551 
76,r,r,0.1,0.3,0.55,0,2,-0.2,0.836138313309 
77,r,l,0.2,0,0.1,0.3,2,-0.2,0.836727083917 
