# Time : Tue Jun 26 17:53:47 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S17LDn_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B6B14E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B6B12B0> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.6,0,0.5,0.3,2,0.2,0.836517601041 
1,l,r,0.5,0.3,0.6,0,2,0.2,0.836647301233 
2,l,r,0.1,0.3,0.55,0,2,-0.2,0.837102958487 
3,r,l,0.9,0,0.2,0.3,2,-0.1,1.60602542721 
4,r,l,0.65,0,0.55,0.3,2,0.25,0.837253564302 
5,r,l,0.1,0,0.9,0.3,2,0.6,1.13076893868 
6,l,r,0.55,0.3,0.4,0,1,0.25,1.44547493522 
7,l,r,0.6,0.3,0.65,0,2,0.3,1.74729581499 
8,r,l,0.55,0,0.55,0.3,2,0.25,0.836283799379 
9,r,l,0.9,0,0.4,0.3,2,0.1,0.857975303206 
10,l,r,0.6,0.3,0.6,0,1,0.3,1.00890238226 
11,r,l,0.4,0,0.5,0.3,2,0.2,0.836879822959 
12,l,r,0.1,0.3,0.5,0,2,-0.2,0.836284226025 
13,r,l,0.5,0,0.7,0.3,2,0.4,1.18933838823 
14,l,r,0.3,0.3,0.5,0,2,0.0,0.836119967558 
15,r,l,0.3,0,0.4,0.3,2,0.1,1.26001134023 
16,r,l,0.5,0,0.55,0.3,2,0.25,0.837003976761 
17,r,l,0.2,0,0.01,0.3,2,-0.29,0.835989414075 
18,l,r,0.65,0.3,0.7,0,2,0.35,0.89456824982 
19,l,r,0.6,0.3,0.7,0,2,0.3,0.837379424686 
20,r,l,0.7,0,0.1,0.3,2,-0.2,0.85818862589 
21,l,r,0.65,0.3,0.9,0,2,0.35,0.836218095993 
22,r,l,0.3,0,0.4,0.3,2,0.1,0.974900879615 
23,l,r,0.2,0.3,0.3,0,2,-0.1,0.836439524939 
24,r,l,0.7,0,0.6,0.3,2,0.3,1.55078381154 
25,r,l,0.1,0,0.6,0.3,2,0.3,0.968468774039 
26,l,r,0.4,0.3,0.01,0,1,0.1,1.56924646322 
27,r,l,0.55,0,0.3,0.3,2,0.0,0.837824842451 
28,l,r,0.5,0.3,0.65,0,2,0.2,0.836018852606 
29,r,l,0.01,0,0.1,0.3,2,-0.2,0.836079009603 
30,l,r,0.3,0.3,0.5,0,2,0.0,0.861594109222 
31,l,r,0.65,0.3,0.7,0,2,0.35,0.899429447149 
32,l,r,0.65,0.3,0.2,0,2,0.35,0.837235218551 
33,l,r,0.01,0.3,0.4,0,2,-0.29,0.836860197272 
34,r,l,0.55,0,0.9,0.3,1,0.6,2.00608524289 
35,r,l,0.4,0,0.2,0.3,2,-0.1,0.851765053222 
36,r,l,0.5,0,0.4,0.3,2,0.1,1.10558832903 
37,r,l,0.6,0,0.9,0.3,2,0.6,0.836966431969 
38,r,l,0.3,0,0.6,0.3,2,0.3,0.836419472607 
39,r,l,0.6,0,0.9,0.3,2,0.6,0.837134530244 
40,r,l,0.1,0,0.3,0.3,2,0.0,0.836757802384 
41,l,r,0.2,0.3,0.65,0,2,-0.1,0.836389607431 
42,r,l,0.55,0,0.01,0.3,2,-0.29,0.846652135125 
43,r,l,0.4,0,0.3,0.3,2,0.0,1.44547066877 
44,l,r,0.3,0.3,0.1,0,2,0.0,0.836026958868 
45,l,r,0.4,0.3,0.9,0,2,0.1,0.836137460018 
46,r,l,0.1,0,0.5,0.3,2,0.2,1.15204830308 
47,l,r,0.7,0.3,0.01,0,1,0.4,0.90582144806 
48,r,l,0.4,0,0.65,0.3,1,0.35,2.27763947357 
49,l,r,0.65,0.3,0.2,0,2,0.35,0.836325610626 
50,l,r,0.55,0.3,0.01,0,2,0.25,1.67026328712 
51,l,r,0.01,0.3,0.6,0,2,-0.29,0.836525707303 
52,r,l,0.1,0,0.3,0.3,2,0.0,1.51302057668 
53,r,l,0.2,0,0.1,0.3,2,-0.2,0.836852517656 
54,r,l,0.3,0,0.2,0.3,2,-0.1,0.835988134139 
55,r,l,0.65,0,0.2,0.3,2,-0.1,0.856453885822 
56,l,r,0.65,0.3,0.3,0,2,0.35,0.836885795994 
57,r,l,0.2,0,0.5,0.3,2,0.2,0.835999226919 
58,l,r,0.4,0.3,0.65,0,2,0.1,0.836297025386 
59,l,r,0.7,0.3,0.2,0,1,0.4,0.954806736048 
60,r,l,0.01,0,0.1,0.3,2,-0.2,0.836224922319 
61,r,l,0.9,0,0.55,0.3,2,0.25,1.53958437061 
62,l,r,0.2,0.3,0.01,0,2,-0.1,0.835987707494 
63,l,r,0.01,0.3,0.3,0,2,-0.29,0.836188657462 
64,r,l,0.55,0,0.9,0.3,1,0.6,1.53798957023 
65,l,r,0.5,0.3,0.2,0,2,0.2,0.836855077528 
66,l,r,0.7,0.3,0.4,0,1,0.4,1.15361579817 
67,l,r,0.7,0.3,0.9,0,1,0.4,1.0755554816 
68,r,l,0.65,0,0.01,0.3,2,-0.29,0.848311785609 
69,l,r,0.1,0.3,0.6,0,2,-0.2,0.836793213949 
70,r,l,0.55,0,0.55,0.3,2,0.25,0.99808948204 
71,r,l,0.5,0,0.7,0.3,1,0.4,0.989839440548 
