# Time : Tue Jun 26 17:41:15 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S17LDn_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B6912B0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B691080> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.9,0,0.2,0.3,2,-0.1,1.24024315373 
1,r,l,0.6,0,0.55,0.3,2,0.25,0.991183800105 
2,l,r,0.4,0.3,0.01,0,2,0.1,1.43198824848 
3,l,r,0.01,0.3,0.01,0,2,-0.29,0.837012936314 
4,r,l,0.7,0,0.6,0.3,1,0.3,1.07659350979 
5,l,r,0.01,0.3,0.3,0,2,-0.29,1.15343191401 
6,l,r,0.55,0.3,0.65,0,1,0.25,1.25025524059 
7,l,r,0.4,0.3,0.3,0,2,0.1,1.31209194037 
8,l,r,0.65,0.3,0.1,0,1,0.35,1.58786398716 
9,r,l,0.2,0,0.65,0.3,1,0.35,0.986752661307 
10,r,l,0.3,0,0.9,0.3,1,0.6,0.906507067167 
11,r,l,0.65,0,0.55,0.3,1,0.25,1.27945826278 
12,r,l,0.4,0,0.2,0.3,2,-0.1,0.970209487142 
13,l,r,0.01,0.3,0.6,0,1,-0.29,1.37206121337 
14,l,r,0.65,0.3,0.2,0,1,0.35,1.06880552523 
15,l,r,0.3,0.3,0.65,0,1,0.0,0.881762489083 
16,l,r,0.1,0.3,0.9,0,1,-0.2,1.21455782261 
17,l,r,0.01,0.3,0.7,0,1,-0.29,1.23042561715 
18,l,r,0.9,0.3,0.65,0,1,0.6,1.26018882471 
19,l,r,0.6,0.3,0.4,0,1,0.3,0.890105539265 
20,r,l,0.6,0,0.7,0.3,1,0.4,1.15881788514 
21,l,r,0.5,0.3,0.65,0,2,0.2,0.836643461425 
22,r,l,0.7,0,0.5,0.3,1,0.2,1.61451822992 
23,l,r,0.4,0.3,0.5,0,2,0.1,2.44525435957 
24,r,l,0.5,0,0.7,0.3,1,0.4,2.17609360941 
25,l,r,0.55,0.3,0.01,0,1,0.25,2.43084227902 
26,l,r,0.7,0.3,0.3,0,1,0.4,1.07460192921 
27,l,r,0.1,0.3,0.3,0,2,-0.2,1.10344144954 
28,r,l,0.1,0,0.2,0.3,1,-0.1,0.837754445965 
29,l,r,0.2,0.3,0.2,0,2,-0.1,0.858123775794 
30,l,r,0.7,0.3,0.2,0,1,0.4,0.96801908982 
31,r,l,0.1,0,0.5,0.3,1,0.2,1.06479420547 
32,r,l,0.1,0,0.1,0.3,1,-0.2,0.8376221859 
33,r,l,0.55,0,0.3,0.3,1,0.0,1.30950006976 
34,l,r,0.1,0.3,0.4,0,2,-0.2,1.7522696467 
35,l,r,0.5,0.3,0.55,0,1,0.2,1.34509765273 
36,l,r,0.1,0.3,0.2,0,2,-0.2,0.836651567687 
37,l,r,0.4,0.3,0.7,0,2,0.1,1.42577373204 
38,r,l,0.4,0,0.55,0.3,1,0.25,0.951601776039 
39,r,l,0.4,0,0.65,0.3,1,0.35,0.88943997249 
40,l,r,0.3,0.3,0.9,0,1,0.0,2.75819660416 
41,l,r,0.01,0.3,0.2,0,2,-0.29,0.859998882189 
42,l,r,0.3,0.3,0.55,0,2,0.0,1.16178605697 
43,l,r,0.01,0.3,0.55,0,1,-0.29,0.836332010306 
44,r,l,0.6,0,0.5,0.3,2,0.2,0.836843131458 
45,r,l,0.7,0,0.2,0.3,2,-0.1,1.52931586989 
46,r,l,0.01,0,0.4,0.3,2,0.1,1.18711300599 
47,l,r,0.65,0.3,0.1,0,1,0.35,1.01097075901 
48,l,r,0.1,0.3,0.9,0,2,-0.2,1.35481194112 
49,l,r,0.9,0.3,0.55,0,1,0.6,0.931633492856 
50,l,r,0.01,0.3,0.01,0,2,-0.29,0.836388327495 
51,l,r,0.6,0.3,0.65,0,2,0.3,1.3253631712 
52,l,r,0.1,0.3,0.7,0,2,-0.2,0.976119378787 
53,l,r,0.2,0.3,0.55,0,2,-0.1,1.03294896852 
54,r,l,0.9,0,0.65,0.3,1,0.35,1.08778100464 
55,r,l,0.6,0,0.3,0.3,2,0.0,0.83680516002 
56,r,l,0.65,0,0.4,0.3,2,0.1,1.37845492086 
57,r,l,0.5,0,0.9,0.3,1,0.6,1.04336850171 
58,l,r,0.65,0.3,0.2,0,1,0.35,1.16113200962 
59,r,l,0.3,0,0.4,0.3,2,0.1,1.30693550445 
