# Time : Tue Jun 26 18:04:24 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S17LDn_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B6E12B0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B6E1080> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.7,0.3,0.5,0,2,0.4,0.836821799189 
1,r,l,0.2,0,0.5,0.3,2,0.2,0.837941743282 
2,l,r,0.5,0.3,0.5,0,2,0.2,0.836098208644 
3,r,l,0.7,0,0.5,0.3,2,0.2,0.836486029284 
4,l,r,0.4,0.3,0.4,0,2,0.1,0.83626161382 
5,r,l,0.6,0,0.55,0.3,2,0.25,0.977238896234 
6,r,l,0.3,0,0.9,0.3,2,0.6,1.13010934494 
7,r,l,0.7,0,0.5,0.3,2,0.2,0.956954042188 
8,l,r,0.1,0.3,0.6,0,2,-0.2,0.836181831136 
9,r,l,0.7,0,0.3,0.3,2,0.0,1.00570510187 
10,r,l,0.2,0,0.5,0.3,2,0.2,0.83645872398 
11,r,l,0.3,0,0.2,0.3,2,-0.1,0.83659695708 
12,l,r,0.1,0.3,0.2,0,2,-0.2,0.837589760852 
13,r,l,0.9,0,0.7,0.3,2,0.4,1.10596932334 
14,l,r,0.2,0.3,0.55,0,2,-0.1,0.836258627303 
15,r,l,0.1,0,0.7,0.3,2,0.4,0.836856784109 
16,r,l,0.6,0,0.01,0.3,2,-0.29,0.836346089603 
17,r,l,0.7,0,0.2,0.3,2,-0.1,0.836958325707 
18,l,r,0.3,0.3,0.9,0,2,0.0,0.836545759636 
19,r,l,0.5,0,0.7,0.3,1,0.4,1.21503907858 
20,l,r,0.2,0.3,0.3,0,2,-0.1,0.836305558293 
21,l,r,0.65,0.3,0.01,0,2,0.35,0.836364008709 
22,r,l,0.1,0,0.65,0.3,1,0.35,0.859661405703 
23,r,l,0.3,0,0.55,0.3,2,0.25,0.836277826344 
24,l,r,0.55,0.3,0.6,0,2,0.25,0.836410513054 
25,r,l,0.01,0,0.55,0.3,2,0.25,1.80716695956 
26,l,r,0.3,0.3,0.1,0,2,0.0,0.837327373951 
27,r,l,0.7,0,0.4,0.3,2,0.1,0.83698477772 
28,l,r,0.4,0.3,0.9,0,2,0.1,0.836628528837 
29,l,r,0.1,0.3,0.01,0,2,-0.2,0.836745856314 
30,r,l,0.3,0,0.01,0.3,2,-0.29,0.837821429288 
31,l,r,0.65,0.3,0.5,0,1,0.35,1.31016563653 
32,l,r,0.01,0.3,0.1,0,2,-0.29,0.835738546598 
33,r,l,0.4,0,0.1,0.3,2,-0.2,1.47287751395 
34,r,l,0.4,0,0.4,0.3,1,0.1,1.76463382948 
35,r,l,0.5,0,0.3,0.3,2,0.0,0.836473656568 
36,r,l,0.65,0,0.01,0.3,2,-0.29,0.836518027687 
37,r,l,0.65,0,0.6,0.3,2,0.3,0.938162873576 
38,l,r,0.6,0.3,0.3,0,1,0.3,0.875905074819 
39,l,r,0.6,0.3,0.9,0,2,0.3,0.836500108581 
40,r,l,0.65,0,0.1,0.3,2,-0.2,0.837096985452 
41,r,l,0.6,0,0.1,0.3,2,-0.2,0.837650344495 
42,l,r,0.3,0.3,0.2,0,2,0.0,0.836807719892 
43,r,l,0.65,0,0.65,0.3,2,0.35,0.835951015992 
44,r,l,0.55,0,0.55,0.3,1,0.25,1.1790097305 
45,r,l,0.65,0,0.9,0.3,2,0.6,1.09182346951 
46,l,r,0.9,0.3,0.01,0,1,0.6,0.837823562514 
47,r,l,0.4,0,0.9,0.3,1,0.6,0.836145139635 
48,r,l,0.1,0,0.01,0.3,2,-0.29,0.836058103979 
49,l,r,0.2,0.3,0.55,0,2,-0.1,0.860267668771 
50,r,l,0.4,0,0.7,0.3,2,0.4,1.19405665936 
51,r,l,0.3,0,0.9,0.3,1,0.6,1.00189046563 
52,r,l,0.1,0,0.55,0.3,2,0.25,0.836347369539 
53,r,l,0.01,0,0.4,0.3,2,0.1,0.836111861296 
54,r,l,0.5,0,0.9,0.3,1,0.6,1.12743214525 
55,r,l,0.9,0,0.5,0.3,2,0.2,1.13028298961 
56,l,r,0.4,0.3,0.55,0,2,0.1,0.836679299636 
57,l,r,0.5,0.3,0.4,0,2,0.2,0.836428858805 
58,r,l,0.7,0,0.55,0.3,2,0.25,0.836582024492 
59,l,r,0.3,0.3,0.2,0,2,0.0,0.836824359061 
60,r,l,0.6,0,0.6,0.3,2,0.3,0.83715330264 
61,r,l,0.01,0,0.1,0.3,2,-0.2,0.835910484682 
62,r,l,0.55,0,0.6,0.3,2,0.3,0.836030798676 
63,l,r,0.7,0.3,0.65,0,2,0.4,0.836157085705 
64,r,l,0.01,0,0.65,0.3,2,0.35,0.836247107878 
65,r,l,0.2,0,0.3,0.3,2,0.0,0.836412646281 
66,l,r,0.01,0.3,0.2,0,2,-0.29,0.836593970562 
67,r,l,0.5,0,0.65,0.3,1,0.35,1.10344528934 
68,r,l,0.1,0,0.01,0.3,2,-0.29,0.835951869283 
69,l,r,0.65,0.3,0.9,0,2,0.35,0.836085409283 
70,r,l,0.55,0,0.6,0.3,2,0.3,0.836524854013 
71,l,r,0.4,0.3,0.65,0,2,0.1,0.836277399699 
72,r,l,0.55,0,0.2,0.3,2,-0.1,0.837110211458 
73,l,r,0.2,0.3,0.4,0,2,-0.1,0.836531253693 
74,r,l,0.6,0,0.6,0.3,2,0.3,0.851295743316 
